# File: A_Shareweights.csv
# Title: Shareweight Overwrites
# Units: NA
# Comments: Will write the last year forward to 2100
# Column types: cccccnnnnnnnnnnnnnnnn
# ----------
xml,region,supplysector,subsector,stub.technology,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
USA_no.new.coal.nuclear,USA,electricity,coal,coal (conv pul),0,0,0,0,0,0,,,,,,,,,,
USA_no.new.coal.nuclear,USA,electricity,coal,coal (IGCC),0,0,0,0,0,0,,,,,,,,,,
USA_no.new.coal.nuclear,USA,electricity,coal,coal (IGCC CCS),0,0,0,0,0,0,,,,,,,,,,
USA_no.new.coal.nuclear,USA,electricity,coal,coal (conv pul CCS),0,0,0,0,0,0,,,,,,,,,,
USA_no.new.gas2025_restart2040,USA,electricity,gas,gas (CC),0,0,0,1,1,1,,,,,,,,,,
USA_no.new.gas2025_restart2040,USA,electricity,gas,gas (steam/CT),0,0,0,6,6,6,,,,,,,,,,
USA_LDV_EV_Shrwt,USA,trn_pass_road_LDV_4W,Car,BEV,0.25,0.45,1,,,,,,,,,,,,,
USA_LDV_EV_Shrwt,USA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.15,0.3,1,,,,,,,,,,,,,
USA_LDV_EV_Shrwt,USA,trn_pass_road_LDV_4W,Car,FCEV,0.25,0.45,1,,,,,,,,,,,,,
USA_LDV_EV_Shrwt,USA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.15,0.3,1,,,,,,,,,,,,,
policy_fuelst_mkt_efta_shwts.xml,European Free Trade Association,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_efta_shwts.xml,European Free Trade Association,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_efta_shwts.xml,European Free Trade Association,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_efta_shwts.xml,European Free Trade Association,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_coalPhaseout_efta.xml,European Free Trade Association,electricity,coal,coal (conv pul),0,0,0,0,0,0,,,,,,,,,,
policy_coalPhaseout_efta.xml,European Free Trade Association,electricity,coal,coal (IGCC),0,0,0,0,0,0,,,,,,,,,,
rooftop_eu,EU-12,elect_td_bld,rooftop_pv,,0.058,0.086,0.1,0.1,0.1,0.1,,,,,,,,,,
rooftop_eu,EU-15,elect_td_bld,rooftop_pv,,0.058,0.086,0.1,0.1,0.1,0.1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Austria,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Austria,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Austria,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Austria,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Austria,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Austria,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Austria,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Austria,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Austria,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Austria,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Austria,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Austria,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Austria,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Austria,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Austria,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Austria,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Belgium,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Belgium,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Belgium,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Belgium,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Belgium,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Belgium,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Belgium,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Belgium,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Belgium,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Belgium,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Belgium,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Belgium,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Belgium,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Belgium,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Belgium,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Belgium,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Bulgaria,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Bulgaria,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Bulgaria,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Bulgaria,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Bulgaria,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Bulgaria,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Bulgaria,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Bulgaria,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Bulgaria,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Bulgaria,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Bulgaria,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Croatia,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Croatia,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Croatia,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Croatia,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Croatia,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Croatia,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Croatia,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Croatia,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Croatia,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Croatia,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Croatia,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Cyprus,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Cyprus,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Cyprus,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Cyprus,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Cyprus,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Cyprus,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Cyprus,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Cyprus,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Cyprus,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Cyprus,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Cyprus,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Cyprus,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Cyprus,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Cyprus,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Cyprus,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Cyprus,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Czech Republic,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Czech Republic,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Czech Republic,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Czech Republic,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Czech Republic,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Czech Republic,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Czech Republic,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Czech Republic,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Czech Republic,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Czech Republic,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Czech Republic,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Denmark,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Denmark,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Denmark,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Denmark,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Denmark,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Denmark,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Denmark,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Denmark,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Denmark,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Denmark,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Denmark,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Denmark,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Denmark,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Denmark,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Denmark,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Denmark,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Estonia,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Estonia,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Estonia,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Estonia,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Estonia,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Estonia,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Estonia,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Estonia,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Estonia,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Estonia,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Estonia,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Estonia,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Estonia,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Estonia,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Estonia,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Estonia,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Finland,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Finland,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Finland,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Finland,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Finland,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Finland,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Finland,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Finland,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Finland,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Finland,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Finland,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Finland,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Finland,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Finland,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Finland,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Finland,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,France,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,France,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,France,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,France,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,France,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,France,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,France,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,France,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,France,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,France,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,France,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,France,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,France,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,France,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,France,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,France,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Germany,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Germany,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Germany,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Germany,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Germany,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_eu.xml,Germany,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Germany,trn_pass_road_LDV_4W,Car,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Germany,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Germany,trn_pass_road_LDV_4W,Car,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Germany,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0.75,1,1,,,,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Germany,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_eu_shwts.xml,Germany,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
